COUNTY,CNTYNAME,DISTRICT,DISTNAME,CHARTER_STATUS,CRISIS_IND,CRISISX_L,STUDENTS
50,CORYELL COUNTY,50902,GATESVILLE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
50,CORYELL COUNTY,50910,COPPERAS COVE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",10
52,CRANE COUNTY,52901,CRANE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
54,CROSBY COUNTY,54901,CROSBYTON CISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
56,DALLAM COUNTY,56902,TEXLINE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
57,DALLAS COUNTY,57807,LIFE SCHOOL,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
57,DALLAS COUNTY,57808,UNIVERSAL ACADEMY,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
57,DALLAS COUNTY,57814,ACADEMY FOR ACADEMIC EXCELLENCE,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
57,DALLAS COUNTY,57816,A W BROWN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",16
57,DALLAS COUNTY,57834,EVOLUTION ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
57,DALLAS COUNTY,57834,EVOLUTION ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",-999
57,DALLAS COUNTY,57834,EVOLUTION ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",20
57,DALLAS COUNTY,57835,GOLDEN RULE CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
57,DALLAS COUNTY,57846,LEGACY PREPARATORY,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
57,DALLAS COUNTY,57848,INTERNATIONAL LEADERSHIP OF TEXAS,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
57,DALLAS COUNTY,57848,INTERNATIONAL LEADERSHIP OF TEXAS,OPEN ENROLLMENT CHARTER,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",-999
57,DALLAS COUNTY,57848,INTERNATIONAL LEADERSHIP OF TEXAS,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",115
57,DALLAS COUNTY,57903,CARROLLTON-FARMERS BRANCH ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",22
57,DALLAS COUNTY,57904,CEDAR HILL ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
57,DALLAS COUNTY,57905,DALLAS ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",95
57,DALLAS COUNTY,57906,DESOTO ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
57,DALLAS COUNTY,57907,DUNCANVILLE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
57,DALLAS COUNTY,57909,GARLAND ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",14
57,DALLAS COUNTY,57910,GRAND PRAIRIE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",16
57,DALLAS COUNTY,57912,IRVING ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",29
57,DALLAS COUNTY,57913,LANCASTER ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
57,DALLAS COUNTY,57914,MESQUITE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",29
57,DALLAS COUNTY,57916,RICHARDSON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",31
57,DALLAS COUNTY,57919,SUNNYVALE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
57,DALLAS COUNTY,57922,COPPELL ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
61,DENTON COUNTY,61901,DENTON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
61,DENTON COUNTY,61902,LEWISVILLE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",21
61,DENTON COUNTY,61903,PILOT POINT ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
61,DENTON COUNTY,61914,LITTLE ELM ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
62,DEWITT COUNTY,62901,CUERO ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",13
62,DEWITT COUNTY,62901,CUERO ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",19
62,DEWITT COUNTY,62903,YOAKUM ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
62,DEWITT COUNTY,62904,YORKTOWN ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
63,DICKENS COUNTY,63906,PATTON SPRINGS ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
64,DIMMIT COUNTY,64903,CARRIZO SPRINGS CISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
66,DUVAL COUNTY,66902,SAN DIEGO ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
67,EASTLAND COUNTY,67903,EASTLAND ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
68,ECTOR COUNTY,68901,ECTOR COUNTY ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",34
70,ELLIS COUNTY,70801,WAXAHACHIE FAITH FAMILY ACADEMY,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
70,ELLIS COUNTY,70903,ENNIS ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
70,ELLIS COUNTY,70905,FERRIS ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
70,ELLIS COUNTY,70908,MIDLOTHIAN ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
70,ELLIS COUNTY,70911,RED OAK ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
71,EL PASO COUNTY,71902,EL PASO ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
71,EL PASO COUNTY,71909,SOCORRO ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
72,ERATH COUNTY,72801,PREMIER HIGH SCHOOLS,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
72,ERATH COUNTY,72801,PREMIER HIGH SCHOOLS,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",26
72,ERATH COUNTY,72903,STEPHENVILLE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
73,FALLS COUNTY,73901,CHILTON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
73,FALLS COUNTY,73905,ROSEBUD-LOTT ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
74,FANNIN COUNTY,74903,BONHAM ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
74,FANNIN COUNTY,74909,LEONARD ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
75,FAYETTE COUNTY,75901,FLATONIA ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
75,FAYETTE COUNTY,75902,LA GRANGE ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",216
75,FAYETTE COUNTY,75903,SCHULENBURG ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
75,FAYETTE COUNTY,75906,FAYETTEVILLE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
76,FISHER COUNTY,76904,ROTAN ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
79,FORT BEND COUNTY,79901,LAMAR CISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",62
79,FORT BEND COUNTY,79901,LAMAR CISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",13
79,FORT BEND COUNTY,79901,LAMAR CISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",277
79,FORT BEND COUNTY,79906,NEEDVILLE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
79,FORT BEND COUNTY,79906,NEEDVILLE ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",12
79,FORT BEND COUNTY,79907,FORT BEND ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",233
79,FORT BEND COUNTY,79907,FORT BEND ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",27
79,FORT BEND COUNTY,79907,FORT BEND ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",658
79,FORT BEND COUNTY,79910,STAFFORD MSD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",27
79,FORT BEND COUNTY,79910,STAFFORD MSD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",10
80,FRANKLIN COUNTY,80901,MOUNT VERNON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
81,FREESTONE COUNTY,81904,TEAGUE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
82,FRIO COUNTY,82902,DILLEY ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
82,FRIO COUNTY,82903,PEARSALL ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
83,GAINES COUNTY,83901,SEAGRAVES ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
83,GAINES COUNTY,83903,SEMINOLE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
84,GALVESTON COUNTY,84802,ODYSSEY ACADEMY INC,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
84,GALVESTON COUNTY,84802,ODYSSEY ACADEMY INC,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",47
84,GALVESTON COUNTY,84901,DICKINSON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",26
84,GALVESTON COUNTY,84901,DICKINSON ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",34
84,GALVESTON COUNTY,84901,DICKINSON ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",1062
84,GALVESTON COUNTY,84902,GALVESTON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",111
84,GALVESTON COUNTY,84902,GALVESTON ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",197
84,GALVESTON COUNTY,84903,HIGH ISLAND ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
84,GALVESTON COUNTY,84903,HIGH ISLAND ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",113
84,GALVESTON COUNTY,84906,TEXAS CITY ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",52
84,GALVESTON COUNTY,84906,TEXAS CITY ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",12
84,GALVESTON COUNTY,84906,TEXAS CITY ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",80
84,GALVESTON COUNTY,84908,HITCHCOCK ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
84,GALVESTON COUNTY,84908,HITCHCOCK ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",70
84,GALVESTON COUNTY,84909,SANTA FE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",45
84,GALVESTON COUNTY,84909,SANTA FE ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",492
84,GALVESTON COUNTY,84910,CLEAR CREEK ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",233
84,GALVESTON COUNTY,84910,CLEAR CREEK ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",52
84,GALVESTON COUNTY,84910,CLEAR CREEK ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",1962
84,GALVESTON COUNTY,84911,FRIENDSWOOD ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",14
84,GALVESTON COUNTY,84911,FRIENDSWOOD ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",-999
84,GALVESTON COUNTY,84911,FRIENDSWOOD ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",424
86,GILLESPIE COUNTY,86901,FREDERICKSBURG ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
88,GOLIAD COUNTY,88902,GOLIAD ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
88,GOLIAD COUNTY,88902,GOLIAD ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",17
89,GONZALES COUNTY,89901,GONZALES ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
89,GONZALES COUNTY,89903,NIXON-SMILEY CISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
90,GRAY COUNTY,90903,MCLEAN ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
90,GRAY COUNTY,90904,PAMPA ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
91,GRAYSON COUNTY,91903,DENISON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
91,GRAYSON COUNTY,91906,SHERMAN ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
91,GRAYSON COUNTY,91909,WHITESBORO ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
92,GREGG COUNTY,92901,GLADEWATER ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
92,GREGG COUNTY,92902,KILGORE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
92,GREGG COUNTY,92903,LONGVIEW ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
92,GREGG COUNTY,92904,PINE TREE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
92,GREGG COUNTY,92906,SABINE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
93,GRIMES COUNTY,93901,ANDERSON-SHIRO CISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
93,GRIMES COUNTY,93903,IOLA ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
93,GRIMES COUNTY,93904,NAVASOTA ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",13
94,GUADALUPE COUNTY,94901,SEGUIN ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
94,GUADALUPE COUNTY,94902,SCHERTZ-CIBOLO-U CITY ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
94,GUADALUPE COUNTY,94903,NAVARRO ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
94,GUADALUPE COUNTY,94904,MARION ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
95,HALE COUNTY,95905,PLAINVIEW ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
96,HALL COUNTY,96905,TURKEY-QUITAQUE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
97,HAMILTON COUNTY,97902,HAMILTON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
99,HARDEMAN COUNTY,99902,CHILLICOTHE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
100,HARDIN COUNTY,100903,KOUNTZE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",18
100,HARDIN COUNTY,100903,KOUNTZE ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",50
100,HARDIN COUNTY,100904,SILSBEE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",40
100,HARDIN COUNTY,100904,SILSBEE ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",58
100,HARDIN COUNTY,100905,HARDIN-JEFFERSON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
100,HARDIN COUNTY,100905,HARDIN-JEFFERSON ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",-999
